FID,LGA,VM_PARCEL_,VM_PARCE_1,DATA_SOURC,OS_CATEGOR,OS_CATEG_2,OWNER_TYPE,PARK_NAME,OS_STATUS,OS_ACCESS,HA,WATER_BODY,OS_TYPE,OWNER_NAME,Image_URL,VPA_ID,SHAPE_Leng,SHAPE_Area
34210,MELBOURNE,2026\PP5514B,"219296346",VM Parcels,Parks and gardens,Not applicable,Crown,Howard & William Street Reserve,Existing,Open,0.024700000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35364,0.000706958339939,0.000000025264168
34211,MELBOURNE,,,Melbourne City Council Park Status,Parks and gardens,Not applicable,NO DATA,Gillott Reserve/Tianjin Gardens,Existing,Open,0.107800000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35883,0.002379609591974,0.000000110301942
34214,MELBOURNE,1\PS427739,"52806862",Manual addition,Parks and gardens,Not applicable,Local government,Royal Park,Existing,Open,0.157800000000000,,Public open space,Melbourne City Council,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35884,0.003728004709889,0.000000161373559
34217,MELBOURNE,RES1\PS340235,"1375233",Melbourne City Council Park Status,Parks and gardens,Neighbourhood link,Local government,Westbourne Road Reserve,Existing,Open,0.084000000000000,,Public open space,Melbourne City Council,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35885,0.004896853492024,0.000000085955761
34218,MELBOURNE,2\TP23323,"216118197",VM Parcels,Natural and semi-natural open space,Not applicable,Public authority,Moonee Ponds Creek Frontage - Melbourne,Existing,Open,0.406100000000000,Yes,Public open space,VicTrack,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35464,0.003961729279442,0.000000415475371
34220,MELBOURNE,2149\PP2796,"208340386",VM CL Parcels,Recreation corridor,Local link,Crown,Barring Walk,Existing,Open,0.030400000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-YzyOGz7u_dk/Ve-IRNCWD9I/AAAAAAAAEgs/N2Sozq3lC0kPeexjFsQN37TNTI9dV_4EgCCo/s288/Shared%2BTrail%2B-%2BBoroondara.JPG,35465,0.001651182604694,0.000000031123329
34222,MELBOURNE,2388\PP2796,"211210933",VM CL Parcels,Natural and semi-natural open space,Not applicable,Crown,Moonee Ponds Creek Frontage - Melbourne,Existing,Open,0.257300000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35466,0.002470024768749,0.000000263182137
34223,MELBOURNE,2073\PP5514A,"213434503",VM CL Parcels,Sportsfields and organised recreation,Not applicable,Crown,Gosch Parkland,Existing,Open,0.284800000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-IeXcYfXdodo/V47dakbegkI/AAAAAAAAEz8/O9rC3RsPeCAza_GXH_xwCrK0oqmj7UE6gCCo/s288/Collingwood%2Boval.jpg,35467,0.005155933440588,0.000000291428065
34226,MELBOURNE,2168\PP2541,"211565223",VM CL Parcels,Natural and semi-natural open space,Regional link,Crown,Maribyrnong River Bike Trail,Existing,Open,0.052700000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35468,0.001629558963426,0.000000053925086
34227,MELBOURNE,2170\PP2541,"209158989",VM CL Parcels,Natural and semi-natural open space,Regional link,Crown,Maribyrnong River frontage - Melbourne,Existing,Open,0.041900000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35469,0.000879395142918,0.000000042860906
